,mag,time,num_1,scale_1,num_2,scale_2,num_3,scale_3,num_4,scale_4,num_5,scale_5,num_6,scale_6,num_7,scale_7,num_8,scale_8,num_9,scale_9,num_10,scale_10,num_11,scale_11,num_12,scale_12,num_13,scale_13,num_14,scale_14
33,5.3,2015-02-27 00:45:00,53.0,0.5520833333333334,72.0,0.375,,,,,,,,,,,,,,,,,,,,,,,,
34,5.4,2015-04-06 19:30:00,65.0,0.6770833333333334,58.0,0.3020833333333333,85.0,0.2951388888888889,96.0,0.25,96.0,0.2,78.0,0.13541666666666666,60.0,0.08928571428571429,59.0,0.07682291666666667,65.0,0.07523148148148148,64.0,0.06666666666666667,75.0,0.07102272727272728,52.0,0.04513888888888889,60.0,0.04807692307692308,54.0,0.04017857142857143
35,6.4,2015-04-20 09:30:00,74.0,0.7708333333333334,74.0,0.3854166666666667,,,,,,,,,,,,,,,,,,,,,,,,
36,5.7,2015-04-26 04:00:00,75.0,0.78125,75.0,0.390625,82.0,0.2847222222222222,78.0,0.203125,75.0,0.15625,,,,,,,,,,,,,,,,,,
37,5.3,2015-08-13 06:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.022135416666666668,2.0,0.0023148148148148147,5.0,0.005208333333333333,11.0,0.010416666666666666,13.0,0.011284722222222222,0.0,0.0,0.0,0.0
38,5.5,2015-09-01 21:15:00,0.0,0.0,0.0,0.0,20.0,0.06944444444444445,,,,,,,,,,,,,,,,,,,,,,
39,5.7,2015-09-16 03:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
40,5.5,2015-10-13 19:45:00,17.0,0.17708333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,
41,5.1,2015-10-17 01:00:00,20.0,0.20833333333333334,10.0,0.052083333333333336,,,,,,,,,,,,,,,,,,,,,,,,
42,5.9,2015-11-02 05:00:00,32.0,0.3333333333333333,19.0,0.09895833333333333,10.0,0.034722222222222224,10.0,0.026041666666666668,6.0,0.0125,38.0,0.06597222222222222,69.0,0.10267857142857142,79.0,0.10286458333333333,29.0,0.03356481481481482,0.0,0.0,19.0,0.017992424242424244,41.0,0.035590277777777776,29.0,0.023237179487179488,,
43,5.5,2015-11-11 23:30:00,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
44,5.2,2015-11-28 08:45:00,0.0,0.0,1.0,0.005208333333333333,0.0,0.0,9.0,0.0234375,11.0,0.022916666666666665,12.0,0.020833333333333332,38.0,0.05654761904761905,19.0,0.024739583333333332,0.0,0.0,13.0,0.013541666666666667,14.0,0.013257575757575758,0.0,0.0,0.0,0.0,13.0,0.009672619047619048
