,mag,time,num_1,scale_1,num_2,scale_2,num_3,scale_3,num_4,scale_4,num_5,scale_5,num_6,scale_6,num_7,scale_7,num_8,scale_8,num_9,scale_9,num_10,scale_10,num_11,scale_11,num_12,scale_12,num_13,scale_13,num_14,scale_14
11,5.8,2014-01-07 02:45:00,25.0,0.2604166666666667,21.0,0.109375,24.0,0.08333333333333333,29.0,0.07552083333333333,22.0,0.04583333333333333,8.0,0.013888888888888888,32.0,0.047619047619047616,5.0,0.006510416666666667,20.0,0.023148148148148147,21.0,0.021875,20.0,0.01893939393939394,6.0,0.005208333333333333,7.0,0.005608974358974359,10.0,0.00744047619047619
12,6.0,2014-01-09 02:15:00,22.0,0.22916666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,
13,5.1,2014-01-15 02:30:00,13.0,0.13541666666666666,25.0,0.13020833333333334,24.0,0.08333333333333333,8.0,0.020833333333333332,23.0,0.04791666666666667,0.0,0.0,,,,,,,,,,,,,,,,
14,5.2,2014-01-17 04:30:00,20.0,0.20833333333333334,25.0,0.13020833333333334,,,,,,,,,,,,,,,,,,,,,,,,
15,5.2,2014-01-24 06:45:00,10.0,0.10416666666666667,23.0,0.11979166666666667,27.0,0.09375,8.0,0.020833333333333332,34.0,0.07083333333333333,28.0,0.04861111111111111,32.0,0.047619047619047616,,,,,,,,,,,,,,
16,5.1,2014-03-16 04:00:00,62.0,0.6458333333333334,47.0,0.24479166666666666,56.0,0.19444444444444445,40.0,0.10416666666666667,21.0,0.04375,32.0,0.05555555555555555,36.0,0.05357142857142857,44.0,0.057291666666666664,28.0,0.032407407407407406,48.0,0.05,62.0,0.058712121212121215,65.0,0.05642361111111111,72.0,0.057692307692307696,58.0,0.043154761904761904
17,5.4,2014-03-17 21:00:00,28.0,0.2916666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,
18,5.8,2014-03-19 20:15:00,61.0,0.6354166666666666,,,,,,,,,,,,,,,,,,,,,,,,,,
19,5.4,2014-04-10 10:30:00,38.0,0.3958333333333333,30.0,0.15625,0.0,0.0,22.0,0.057291666666666664,12.0,0.025,22.0,0.03819444444444445,32.0,0.047619047619047616,38.0,0.049479166666666664,53.0,0.061342592592592594,67.0,0.06979166666666667,45.0,0.04261363636363636,59.0,0.051215277777777776,67.0,0.05368589743589743,64.0,0.047619047619047616
20,5.2,2014-05-04 20:30:00,1.0,0.010416666666666666,2.0,0.010416666666666666,58.0,0.2013888888888889,8.0,0.020833333333333332,,,,,,,,,,,,,,,,,,,,
21,5.9,2014-05-21 08:15:00,17.0,0.17708333333333334,34.0,0.17708333333333334,23.0,0.0798611111111111,48.0,0.125,17.0,0.035416666666666666,31.0,0.05381944444444445,50.0,0.0744047619047619,14.0,0.018229166666666668,18.0,0.020833333333333332,16.0,0.016666666666666666,23.0,0.021780303030303032,16.0,0.013888888888888888,32.0,0.02564102564102564,31.0,0.023065476190476192
22,5.3,2014-06-22 20:15:00,50.0,0.5208333333333334,43.0,0.22395833333333334,49.0,0.1701388888888889,54.0,0.140625,42.0,0.0875,23.0,0.03993055555555555,37.0,0.05505952380952381,4.0,0.005208333333333333,13.0,0.015046296296296295,18.0,0.01875,7.0,0.006628787878787879,49.0,0.042534722222222224,20.0,0.016025641025641024,47.0,0.034970238095238096
23,5.2,2014-07-08 07:00:00,15.0,0.15625,22.0,0.11458333333333333,20.0,0.06944444444444445,18.0,0.046875,5.0,0.010416666666666666,29.0,0.050347222222222224,35.0,0.052083333333333336,37.0,0.048177083333333336,46.0,0.05324074074074074,44.0,0.04583333333333333,54.0,0.05113636363636364,54.0,0.046875,48.0,0.038461538461538464,44.0,0.03273809523809524
24,5.3,2014-07-17 14:00:00,53.0,0.5520833333333334,30.0,0.15625,20.0,0.06944444444444445,45.0,0.1171875,0.0,0.0,11.0,0.019097222222222224,10.0,0.01488095238095238,21.0,0.02734375,33.0,0.03819444444444445,,,,,,,,,,
25,5.1,2014-08-06 11:45:00,25.0,0.2604166666666667,26.0,0.13541666666666666,26.0,0.09027777777777778,39.0,0.1015625,39.0,0.08125,62.0,0.1076388888888889,33.0,0.049107142857142856,47.0,0.061197916666666664,10.0,0.011574074074074073,38.0,0.03958333333333333,48.0,0.045454545454545456,55.0,0.04774305555555555,55.0,0.044070512820512824,61.0,0.04538690476190476
26,5.3,2014-09-25 18:30:00,27.0,0.28125,12.0,0.0625,3.0,0.010416666666666666,17.0,0.044270833333333336,48.0,0.1,9.0,0.015625,10.0,0.01488095238095238,12.0,0.015625,0.0,0.0,14.0,0.014583333333333334,27.0,0.02556818181818182,23.0,0.019965277777777776,,,,
27,5.2,2014-10-08 02:00:00,41.0,0.4270833333333333,15.0,0.078125,23.0,0.0798611111111111,0.0,0.0,49.0,0.10208333333333333,0.0,0.0,13.0,0.019345238095238096,38.0,0.049479166666666664,26.0,0.03009259259259259,2.0,0.0020833333333333333,14.0,0.013257575757575758,20.0,0.017361111111111112,,,,
28,5.2,2014-11-20 01:45:00,20.0,0.20833333333333334,36.0,0.1875,53.0,0.1840277777777778,,,,,,,,,,,,,,,,,,,,,,
29,5.8,2014-11-21 11:15:00,6.0,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,
30,6.7,2014-12-11 05:00:00,36.0,0.375,34.0,0.17708333333333334,12.0,0.041666666666666664,13.0,0.033854166666666664,33.0,0.06875,23.0,0.03993055555555555,15.0,0.022321428571428572,64.0,0.08333333333333333,30.0,0.034722222222222224,30.0,0.03125,14.0,0.013257575757575758,0.0,0.0,8.0,0.00641025641025641,20.0,0.01488095238095238
31,5.1,2014-12-31 11:00:00,42.0,0.4375,44.0,0.22916666666666666,44.0,0.1527777777777778,16.0,0.041666666666666664,40.0,0.08333333333333333,,,,,,,,,,,,,,,,,,
32,6.3,2015-02-14 04:00:00,50.0,0.5208333333333334,0.0,0.0,47.0,0.16319444444444445,16.0,0.041666666666666664,32.0,0.06666666666666667,14.0,0.024305555555555556,14.0,0.020833333333333332,36.0,0.046875,35.0,0.04050925925925926,37.0,0.03854166666666667,30.0,0.028409090909090908,,,,,,
33,5.3,2015-02-27 00:45:00,34.0,0.3541666666666667,44.0,0.22916666666666666,,,,,,,,,,,,,,,,,,,,,,,,
34,5.4,2015-04-06 19:30:00,36.0,0.375,19.0,0.09895833333333333,47.0,0.16319444444444445,90.0,0.234375,82.0,0.17083333333333334,62.0,0.1076388888888889,19.0,0.028273809523809524,22.0,0.028645833333333332,31.0,0.03587962962962963,28.0,0.029166666666666667,44.0,0.041666666666666664,3.0,0.0026041666666666665,36.0,0.028846153846153848,49.0,0.036458333333333336
35,6.4,2015-04-20 09:30:00,35.0,0.3645833333333333,39.0,0.203125,,,,,,,,,,,,,,,,,,,,,,,,
36,5.7,2015-04-26 04:00:00,49.0,0.5104166666666666,54.0,0.28125,59.0,0.2048611111111111,49.0,0.12760416666666666,53.0,0.11041666666666666,,,,,,,,,,,,,,,,,,
